"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 19:07:58 UTC 2025","Mon May 19 19:07:58 UTC 2025","51","GitHub MVP test suit","GitHub API MVP Tests","api.tests.LoginTests","api.tests.LoginTests","unsuccessfullLoginWithInvalidToken","unsuccessfullLoginWithInvalidToken",""
"passed","Mon May 19 19:07:58 UTC 2025","Mon May 19 19:07:59 UTC 2025","1293","GitHub MVP test suit","GitHub API MVP Tests","api.tests.PullRequestTests","api.tests.PullRequestTests","createPullRequest","createPullRequest",""
"passed","Mon May 19 19:07:59 UTC 2025","Mon May 19 19:08:00 UTC 2025","1031","GitHub MVP test suit","GitHub API MVP Tests","api.tests.PullRequestTests","api.tests.PullRequestTests","mergePullRequest","mergePullRequest",""
"passed","Mon May 19 19:07:59 UTC 2025","Mon May 19 19:07:59 UTC 2025","283","GitHub MVP test suit","GitHub API MVP Tests","api.tests.IssueTests","api.tests.IssueTests","createAndDeleteIssue","createAndDeleteIssue",""
"passed","Mon May 19 19:07:59 UTC 2025","Mon May 19 19:08:00 UTC 2025","378","GitHub MVP test suit","GitHub API MVP Tests","api.tests.IssueTests","api.tests.IssueTests","editIssue","editIssue",""
"passed","Mon May 19 19:07:59 UTC 2025","Mon May 19 19:07:59 UTC 2025","377","GitHub MVP test suit","GitHub API MVP Tests","api.tests.RepositoryTests","api.tests.RepositoryTests","deleteRepository","deleteRepository",""
"passed","Mon May 19 19:07:58 UTC 2025","Mon May 19 19:07:58 UTC 2025","139","GitHub MVP test suit","GitHub API MVP Tests","api.tests.LoginTests","api.tests.LoginTests","successfullLogin","successfullLogin",""
"passed","Mon May 19 19:07:58 UTC 2025","Mon May 19 19:07:59 UTC 2025","807","GitHub MVP test suit","GitHub API MVP Tests","api.tests.RepositoryTests","api.tests.RepositoryTests","createRepository","createRepository",""
"passed","Mon May 19 19:08:00 UTC 2025","Mon May 19 19:08:02 UTC 2025","1721","GitHub MVP test suit","GitHub API MVP Tests","api.tests.PullRequestTests","api.tests.PullRequestTests","closePullRequest","closePullRequest",""
"passed","Mon May 19 19:08:00 UTC 2025","Mon May 19 19:08:00 UTC 2025","463","GitHub MVP test suit","GitHub API MVP Tests","api.tests.IssueTests","api.tests.IssueTests","closeIssue","closeIssue",""
"passed","Mon May 19 19:07:59 UTC 2025","Mon May 19 19:07:59 UTC 2025","215","GitHub MVP test suit","GitHub API MVP Tests","api.tests.RepositoryTests","api.tests.RepositoryTests","cloneRepository","cloneRepository",""
